THEME,SINGULAR,PLURAL,SINGULAR_SHORT,PLURAL_SHORT,CATEGORY,PLURAL_URL
cathedral,Hotel vicino a una cattedrale,Hotel vicino a cattedrali,Hotel,Hotel,property_type,Hotelcattedrali
caveexploring,Hotel vicino a caverne,Hotel vicino a caverne,Hotel,Hotel,property_type,Hotel_caverne
central,Hotel vicino al centro,Hotel vicino al centro,Hotel,Hotel,property_type,Hotel_Centro
chain,Hotel di una catena alberghiera,Hotel di una catena alberghiera,Hotel,Hotel,property_type,Hotel_CatAlberg
chalet,Chalet,Chalet,Chalet,Chalet,property_type,Chalet
cheap,Hotel economico,Hotel economici,Hotel,Hotel,property_type,Hotel_Econ
cheap|deal|hotel,Offerta su hotel economici,Offerte su hotel economici,Hotel,Hotel,property_type,OffHotelEcon
cheap|hostel,Ostello economico,Ostelli economici,Ostello,Ostelli,property_type,Ostellieconom
cheap|hotel,Hotel economico,Hotel economici,Hotel,Hotel,property_type,Hotel_Econ
cheap|hotel|lastminute,Hotel economico last-minute,Hotel economici last-minute,Hotel,Hotel,property_type,HotelEconLampo
cheap|hotel|near,Hotel economico nei paraggi,Hotel economici nei paraggi,Hotel,Hotel,property_type,Hotel_Econ
cheap|hotel|nearme,Hotel economico vicino a te,Hotel economici vicino a te,Hotel,Hotel,property_type,HotelEconVicino
cheap|hotel|nearme|suites,Suite di hotel economica vicina a te,Suite di hotel economiche vicino a te,Suite di hotel,Suite di hotel,property_type,Suiteeconvicino
cheap|hotel|suites,Suite di hotel economica,Suite di hotel economiche,Suite di hotel,Suite di hotel,property_type,Suiteeconvicino
cheap|motel,Motel economico,Motel economici,Motel,Motel,property_type,Moteleconomici
cheap|resort,Resort economico,Resort economici,Resort,Resort,property_type,Resort_Econ
cheap|stay,Soggiorno in hotel economico,Soggiorni in hotel economici,Hotel,Hotel,property_type,Soggiorno_econ
cheapest|hotel,Hotel più economico,Hotel più economici,Hotel,Hotel,property_type,Hotel_PiùEconom
cheese,Hotel per amanti del formaggio,Hotel per amanti del formaggio,Hotel,Hotel,property_type,Hotel_Formaggio
childcare,Hotel con servizio assistenza all'infanzia,Hotel con servizio assistenza all'infanzia,Hotel,Hotel,property_type,HotelInfanzia
chinatown,Hotel in Chinatown,Hotel in Chinatown,Hotel,Hotel,property_type,Hotel_Chinatown
chocolate,Hotel vicino a cioccolaterie,Hotel vicino a cioccolaterie,Hotel,Hotel,property_type,Hotel_Cioccolat
christmas,Hotel per le vacanze di Natale,Hotel per le vacanze di Natale,Hotel,Hotel,property_type,Hotel_Natale
churches,Hotel vicino a chiese,Hotel vicino a chiese,Hotel,Hotel,property_type,Hotel_Chiese
clean,Hotel pulito,Hotel puliti,Hotel,Hotel,property_type,Hotel_puliti
clearwaterbeach,Hotel vicino a spiagge di acqua cristallina,Hotel vicino a spiagge di acqua cristallina,Hotel,Hotel,property_type,Acquacristal
clubhouse,Circolo,Circoli,Circolo,Circoli,property_type,Circoli
cocktails,Hotel vicino a cocktail bar,Hotel vicino a cocktail bar,Hotel,Hotel,property_type,Hotel_Cocktail
coffee,Hotel con caffè,Hotel con caffè,Hotel,Hotel,property_type,Hotel_Caffè
coffeemaker,Hotel con macchina del caffè,Hotel con macchina del caffè,Hotel,Hotel,property_type,HotelMaccCaffè
concierge,Hotel con servizio concierge,Hotel con servizio concierge,Hotel,Hotel,property_type,Hotel_Concierge
condo,Appartamenti vacanze,Appartamenti vacanze,Appartamenti vacanze,Appartamenti vacanze,property_type,App_vacanze
conferencecenter,Hotel con centro congressi,Hotel con centro congressi,Hotel,Hotel,property_type,HotelCentrCongr
connectingrooms,Hotel con camere comunicanti,Hotel con camere comunicanti,Hotel,Hotel,property_type,Camerecomunican
coralreefs,Hotel vicino alla barriera corallina,Hotel vicino alla barriera corallina,Hotel,Hotel,property_type,Hotelbarcoral
cottage,Cottage,Cottage,Cottage,Cottage,property_type,Cottage
countryhouse,Struttura rurale,Strutture rurali,Struttura rurale,Strutture rurali,property_type,Strutturerurali
countryside,Hotel in campagna,Hotel in campagna,Hotel,Hotel,property_type,Campagna
couple,Hotel per coppie,Hotel per coppie,Hotel,Hotel,property_type,Hotel_coppie
coupon|hotel,Coupon per hotel,Coupon per hotel,Hotel,Hotel,property_type,Hotel_Coupon
culture,Hotel vicino ad attrazioni culturali,Hotel vicino ad attrazioni culturali,Hotel,Hotel,property_type,Hotel_Cultura
dancing,Hotel vicino a piste da ballo,Hotel vicini a piste da ballo,Hotel,Hotel,property_type,Hotel
deal,Offerta hotel,Offerte hotel,Hotel,Hotel,property_type,Hotel_Offerte
deal|hotel,Offerta hotel,Offerte hotel,Hotel,Hotel,property_type,Hotel_Offerte
deal|hotel|lastminute,Offerta hotel last minute,Offerte hotel last minute,Hotel,Hotel,property_type,Offlampohotel
deal|hotel|offer,Offerta hotel,Offerte e promozioni hotel,Hotel,Hotel,property_type,Offertehotel
deal|hotel|secluded,Offerta su hotel isolati,Offerte su hotel isolati,Hotel,Hotel,property_type,Off_Hotel_Isol
deal|lastminute|resort,Offerta last minute su resort,Offerte last minute su resort,Resort,Resort,property_type,OffLastMinRes
deal|lastminute|suites,Promozione last minute su suite,Promozioni last minute su suite,Suite,Suite,property_type,ProLastMinSuite
deals,Offerta hotel,Offerte hotel,Hotel,Hotel,property_type,Hotel_Offerte
default,Hotel,Hotel,Hotel,Hotel,property_type,Hotel
design,Hotel dal design unico,Hotel dal design unico,Hotel,Hotel,property_type,Hotel_Design
dining,Hotel con ristoranti,Hotel con ristoranti,Hotel,Hotel,property_type,HotelRistoranti
discount,Sconto sugli hotel,Sconti sugli hotel,Hotel,Hotel,property_type,Hote_Sconti
discount|hotel,Sconto sugli hotel,Sconti sugli hotel,Hotel,Hotel,property_type,Hote_Sconti
discount|hotel|suites,Sconto su suite di hotel,Sconti su suite di hotel,Suite di hotel,Suite di hotel,property_type,OffSuiteHotel
diving,Hotel per amanti delle immersioni,Hotel per amanti delle immersioni,Hotel,Hotel,property_type,HotelImmersioni
dolphins,Hotel vicino a siti per avvistare i delfini,Hotel vicino a siti per avvistare i delfini,Hotel,Hotel,property_type,Hotel_Delfini
dormitory,Dormitorio,Dormitori,Dormitorio,Dormitori,property_type,Dormitori
