THEME,SINGULAR,PLURAL,SINGULAR_SHORT,PLURAL_SHORT,CATEGORY,PLURAL_URL
waterslide,Hotel with Waterslide,Hotels with Waterslides,Hotel,Hotels,property_type,HotelWaterslide
houseboat,Houseboat,Houseboats,Houseboat,Houseboats,property_type,Houseboats
housekeeping,Hotel with Housekeeping,Hotels with Housekeeping,Hotel,Hotels,property_type,Housekeeping
ideal,Ideal Hotel,Ideal Hotels,Hotel,Hotels,property_type,Ideal_Hotels
indoorskiing,Hotel near Indoor Skiing,Hotels near Indoor Skiing,Hotel,Hotels,property_type,Indoor_Skiing
inexpensive,Inexpensive Hotel,Inexpensive Hotels,Hotel,Hotels,property_type,Inexp_Hotels
inn,Inn,Inns,Inn,Inns,property_type,Inns
lakeview,Hotel with Lake View,Hotels with Lake Views,Hotel,Hotels,property_type,LakeViewHotels
accommodation|deal|lastminute,Last-Minute Deal on Accommodation,Last-Minute Deals on Accommodation,Accommodation,Accommodation,property_type,LasMinAccomDeal
deal|lastminute|suites,Deal on Last-Minute Suites,Deals on Last-Minute Suites,Suite,Suites,property_type,LasMinSuiteDeal
accommodation|lastminute,Last-Minute Accommodation,Last-Minute Accommodation,Accommodation,Accommodation,property_type,Last_Min_Accomm
booking|hotel|lastminute,Last-Minute Hotel,Last-Minute Hotels,Hotel,Hotels,property_type,Last_Min_Hotels
deal|lastminute|resort,Last-Minute Deal on Resorts,Last-Minute Deals on Resorts,Resort,Resorts,property_type,LastMinDealsRes
lastminute,Last-Minute Hotel,Last-Minute Hotels,Hotel,Hotels,property_type,LastMinuteHotel
hotel|lastminute,Last-Minute Hotel,Last-Minute Hotels,Hotel,Hotels,property_type,LastMinuteHotel
leisure,Leisure Hotel,Leisure Hotels,Hotel,Hotels,property_type,Leisure_Hotels
local,Local Hotel,Local Hotels,Hotel,Hotels,property_type,Local_Hotels
lodge,Lodge,Lodges,Lodge,Lodges,property_type,Lodges
lodging,Lodging,Lodging,Lodging,Lodging,property_type,Lodging
longhouse,Longhouse,Longhouses,Longhouse,Longhouses,property_type,Longhouses
accommodation|lowcost,Low-Cost Accommodation,Low-Cost Accommodation,Accommodation,Accommodation,property_type,Low_Cost_Accomm
lowcost,Low-Cost Hotel,Low-Cost Hotels,Hotel,Hotels,property_type,Low_Cost_Hotels
hotel|lowcost,Low-Cost Hotel,Low-Cost Hotels,Hotel,Hotels,property_type,Low_Cost_Hotels
